,test,best result,evaluations
155,test1,0.5696990796987623,10000
156,test16,5.6772842931296434,300
157,test16,2.9477245763670674,625
158,test16,1.5414562386881023,1250
159,test16,1.1564296381062116,2500
160,test16,0.9857752747381476,5000
161,test16,0.7082244104065566,10000
162,test21,4.993104779116985,300
163,test21,2.539954742864549,625
164,test21,1.6853172048401095,1250
165,test21,1.2797939018709268,2500
166,test21,1.07036268378173,5000
167,test21,0.6604148200151322,10000
168,test22,4.062993524626299,300
169,test22,1.9067049821443025,625
170,test22,1.6069890070070008,1250
171,test22,1.1412700318964135,2500
172,test22,0.9345156613697748,5000
173,test22,0.5210909335197789,10000
174,test14,5.625378074434637,300
175,test14,2.0930758079870104,625
176,test14,1.101981557497331,1250
177,test14,1.101956842693411,2500
178,test14,0.9572520883689108,5000
179,test14,0.5196181770664657,10000
